Player,Rk,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,Awards
Alfredo Amézaga,1,24,mx MX,both,right,11-May,165,1/16/78,1st,12,3,12,5,0,0,0,0,0,5,0,0,0,0,1,0,7,
Garret Anderson,2,30,us US,left,left,3-Jun,190,6/30/72,9,158,157,158,147,0,0,0,0,0,0,137,14,0,147,10,1,0,"AS,MVP-4,SS"
Kevin Appier,3,34,us US,right,right,2-Jun,180,12/6/67,14,32,32,2,32,32,0,0,0,0,0,0,0,0,0,0,0,0,
Clay Bellinger,4,33,us US,right,right,3-Jun,195,11/18/68,4,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,
Mickey Callaway,5,27,us US,right,right,2-Jun,190,5/13/75,3,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,
Dennis Cook,6,39,us US,left,left,3-Jun,185,10/4/62,15,37,0,4,37,37,0,0,0,0,0,0,0,0,0,0,0,0,
Jeff DaVanon,7,28,us US,both,right,Jun-00,185,12/8/73,3,16,5,16,10,0,0,0,0,0,0,2,4,4,10,4,6,2,
Brendan Donnelly,8,30,us US,right,right,3-Jun,205,7/4/71,1st,46,0,2,46,46,0,0,0,0,0,0,0,0,0,0,0,0,
David Eckstein,9,27,us US,right,right,6-May,170,1/20/75,2,152,149,152,147,0,0,0,0,0,147,0,0,0,0,3,2,0,MVP-11
Darin Erstad,10,28,us US,left,left,2-Jun,195,6/4/74,7,150,146,150,143,0,0,5,0,0,0,0,143,0,143,4,3,0,GG
Jorge Fábregas,11,32,us US,left,right,3-Jun,205,3/13/70,9,35,23,35,32,0,32,0,0,0,0,0,0,0,0,0,5,0,
Sal Fasano,12,30,us US,right,right,2-Jun,220,8/10/71,7,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,
Chone Figgins,13,24,us US,both,right,8-May,180,1/22/78,1st,15,1,15,8,0,0,0,8,0,0,0,0,0,0,0,3,10,
Brad Fullmer,14,27,us US,left,right,1-Jun,185,1/17/75,6,130,117,130,29,0,0,29,0,0,0,0,0,0,0,94,11,0,
Benji Gil,15,29,mx MX,right,right,2-Jun,210,10/6/72,7,61,38,61,49,0,0,10,26,0,14,0,0,0,0,8,11,2,
Troy Glaus,16,25,us US,right,right,5-Jun,220,8/3/76,5,156,153,156,156,0,0,0,0,156,2,0,0,0,0,0,1,0,
Adam Kennedy,17,26,us US,left,right,11-May,195,1/10/76,4,144,124,144,139,0,0,0,139,0,0,0,1,0,1,1,12,3,
John Lackey,18,23,us US,right,right,6-Jun,235,10/23/78,1st,18,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,ROY-4
Al Levine,19,34,us US,left,right,3-Jun,180,5/22/68,7,52,0,5,52,52,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Lukasiewicz,20,29,us US,left,left,5-Jun,240,3/8/73,2,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,
Bengie Molina,21,27,pr PR,right,right,11-May,190,7/20/74,5,122,114,122,121,0,121,0,0,0,0,0,0,0,0,0,7,0,GG
José Molina,22,27,pr PR,right,right,Jun-00,250,6/3/75,3,29,24,29,29,0,29,0,0,0,0,0,0,0,0,0,0,0,
José Nieves,23,27,ve VE,right,right,1-Jun,180,6/16/75,5,45,23,45,37,0,0,3,18,5,13,0,1,1,2,2,7,5,
Alex Ochoa,24,30,us US,right,right,Jun-00,175,3/29/72,8,37,15,37,36,0,0,0,0,0,0,7,0,31,36,0,7,2,
Ramón Ortiz,25,29,do DO,right,right,Jun-00,175,5/23/73,4,32,32,2,32,32,0,0,0,0,0,0,0,0,0,0,0,0,
Orlando Palmeiro,26,33,us US,left,left,11-May,155,1/19/69,8,110,63,110,86,0,0,0,0,0,0,33,11,47,86,8,32,3,
Troy Percival,27,32,us US,right,right,3-Jun,200,8/9/69,8,58,0,2,58,58,0,0,0,0,0,0,0,0,0,0,0,0,MVP-15
Lou Pote,28,30,us US,right,right,3-Jun,200,8/21/71,4,31,0,4,31,31,0,0,0,0,0,0,0,0,0,0,0,0,
Julio Ramírez,29,24,do DO,right,right,11-May,195,8/10/77,3,29,7,29,23,0,0,0,0,0,0,0,15,9,23,1,4,10,
Francisco Rodríguez,30,20,ve VE,right,right,Jun-00,195,1/7/82,1st,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
Tim Salmon,31,33,us US,right,right,3-Jun,200,8/24/68,11,138,130,138,111,0,0,0,0,0,0,0,0,111,111,25,6,1,
Scott Schoeneweis,32,28,us US,left,left,Jun-00,186,10/2/73,4,54,15,2,54,54,0,0,0,0,0,0,0,0,0,0,0,0,
